,UniqueID,no_intake_question,no_retest1_question,no_retest2_question,SET_program_num,ETO_PROGRAM,SET_admin_num,baseline_type,enroll_SET_type_num,enroll_SET_type,cycle_1_1,cycle_1_2,phase_1_1,phase_1_2,cycle_new,phase_new,newly_enrolled,early_or_end,intake,retest,GRYD_Zone_num,INTERVIEW_DATE_FB,ENROLLMENT_DATE_1,AGE_1_FB,SEX_1,GROUP_POSITION_1,group_position,TATTOO_REMOVE_1,comments_page1_1,S1,S2,S3,S4x,S5x,S7x,S6ax,S6b_Other_Activities,S9,S10,S10_num,S10x,S10z,S11a,S11a_Comments,S11b,S12,S13,S14,S16,ME17,ME18,ME19,ME20a,ME20b,ME20x,ME22_ER,P22,P23,P24,P25,P26,C1a,C1b,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,Group_name_part1,PUSH_1,PULL_1,FS89_foster_now,FS89_foster_past,FS89_group_now,FS89_group_past,FS89_adopted_now,FS89_adopted_past,FS89_parents_now,FS89_parents_past,FS89_relatives_now,FS89_relatives_past,FS89_spouse_now,FS89_spouse_past,FS89_boygirlfriend_now,FS89_boygirlfriend_past,FS89_alone_now,FS89_alone_past,FS90_younger,FS90_teenagers,FS90_20_29_adults,FS90_30_49_adults,FS90_older_adults,F1,F2,F3,IF_NO_FAMILY_TEXT,no_fam_num,F4,F5,FS91,FS92,FS93,FS94,FS95,FS96,FS97,FS98,FS100,FS101,FS102,FS103,FS104,FS105,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16a,F16bx,F17x,F18,F19,F20,F21,F22x,F23x,F24x,F25x,F26,F27,F28x,F29,F31x,F31b,group_name_part2,no_group_num,G2,G3a,G3b,EG1,EG2_most,EG2_youngest,EG2_oldest,EG3,EG4x,G5,G5_num,G6,G7,G8,G9,X11_FIXED,G10x,G11,G12x,G13,G14x,G15,G16,G17,G18,G19,G20,G21,G22a,G22bx,G23x,G24,G25,G26,G27,G28x,G29x,G30x,G31x,G32,G33,G34x,G35,G36x,G36b,G37,X18,X19,X20,X21,X22,A1,A1_Description,A2,A2_Description,A3,A3_Description,A4,O1_other_group_name,no_othgp_num,O4,O5,O6,O7x,O8,O9,X12_FIXED,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19a,O19b,O20x,O21,O22,O23,O24,X10,X11,X12,X13,X14,X15,X16,X17,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8_Not_Honest,Completed_by_CIW,CIW_CLIENT_ID,CIW_INTERVIEW_DATE,CIW_COMPLETED_DATE,CIW1,CIW2,CIW3,CIW4,CIW5,CIW6_COMMENTS
801,40455, , , ,1,1,1, ,1,intake,1,777,2,777,1,2,999,999,1,777,6,8/1/2017,7/31/2017,17,1,3,3,0,Blank,0.0,0.0,0.0,3.0,3.0,0.0,0.0,777,4.0,1.0,1,1.0,1.0,1.0,Big fight with best friend,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,4.0,0.0,,0.0,,0.0,,0.0,,0.0,,The joes,Friends was killed,Brother's support,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4,5,3,777,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,The Joes,1.0,11.0,1.0,13.0,4.0,16.0,15.0,17.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,school,1.0,Clipper,1.0,Friend,0,Positive people,1.0,3.0,3.0,4.0,7.0,2.0,1.0,1,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,Blank,1,Harbor-21-196-1,8/1/2017,8/1/2017,2.0,2.0,3.0,1.0,3.0,Blank
802,40455, , , ,1,1,2, ,2,retest1,777,2,2,777,2,2,777,3,777,1,6,4/4/2018,7/31/2017,17,1,3,3,0,Blank,0.0,0.0,0.0,5.0,10.0,0.0,0.0,777,4.0,1.0,1,1.0,1.0,1.0,Dad went to hospital and almost died,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,0.0,,0.0,,0.0,,0.0,,0.0,,Gee's,Dad went to hospital and almost died,Getting LA hire job in June,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,5,3,777,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,Gee's,1.0,11.0,1.0,13.0,4.0,16.0,15.0,20.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,777,0.0,777,1.0,999,1,GRYD,1.0,5.0,5.0,5.0,0.0,4.0,0.0,2,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,Blank,1,Harbor-21-196-1,4/4/2018,4/4/2018,1.0,3.0,3.0,1.0,3.0,Blank
803,41200, , , ,1,1,1, ,1,intake,1,777,2,777,1,2,1,777,1,777,6,9/21/2017,8/31/2017,19,2,3,3,0,Blank,1.0,1.0,0.0,0.0,0.0,0.0,0.0,777,2.0,0.0,0,1.0,1.0,1.0,Boyfriend beat up and cops were called,,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,YB,DCFS got called when boyfriend beat her up,New baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1,31,3,777,1.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,YB,1.0,13.0,1.0,18.0,4.0,19.0,14.0,25.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,Winter,1.0,Winter,1.0,Winter,0,Winter,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,Blank,1,Harbor-21-198-1,9/9/1999,9/9/1999,2.0,3.0,3.0,3.0,2.0,Blank
804,41200, , , ,1,1,2, ,2,retest1,777,2,2,777,2,2,777,3,777,1,6,4/16/2018,8/31/2017,20,2,3,3,0,Blank,1.0,1.0,0.0,0.0,0.0,0.0,2.0,GRYD,2.0,0.0,0,0.0,0.0,1.0,DCFS was called,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,Winter,DCFS,Filled child custody,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1,31,3,777,1.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,Winter,1.0,13.0,1.0,18.0,4.0,20.0,14.0,30.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,Rainbow,1.0,Rainbow,1.0,Rainbow,0,Rainbow,,,,,,,,2,,,,,,,,,,,,,,,,,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,Blank,1,Harbor-21-198-1,4/16/2018,4/16/2018,1.0,3.0,2.0,1.0,2.0,Blank
805,41562, , , ,1,1,1, ,1,intake,1,777,3,777,1,3,1,777,1,777,6,11/9/2017,9/20/2017,17,1,4,4,0,Blank,0.0,0.0,0.0,35.0,5.0,20.0,0.0,777,4.0,2.0,2,1.0,1.0,1.0,Aunt was killed,1.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,West,Aunt was killed,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0,10,7,777,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,West,1.0,13.0,0.0,,5.0,18.0,11.0,25.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,3.0,9.0,3.0,4.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,Blank,999,Harbor-21-199-1,11/9/2017,11/9/2017,2.0,2.0,3.0,1.0,3.0,Blank
806,41562, , , ,1,1,2, ,2,retest1,777,2,2,777,2,2,999,999,777,1,6,4/30/2018,9/20/2017,17,1,4,4,0,Blank,0.0,0.0,0.0,35.0,0.0,0.0,0.0,777,4.0,2.0,2,1.0,1.0,1.0,Went to jail for a gun,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,7.0,0.0,,0.0,,0.0,,0.0,,Dub,Went to jail for gun,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0,10,7,777,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Dubs,1.0,13.0,0.0,,6.0,18.0,11.0,30.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,3,2.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,3.0,9.0,2.0,4.0,9.0,0.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,Blank,1,Harbor-21-199-1,4/30/2018,4/30/2018,1.0,3.0,3.0,1.0,3.0,Blank
807,41563, , , ,1,1,1, ,1,intake,1,777,3,777,1,3,1,777,1,777,6,11/7/2017,9/20/2017,26,1,3,3,0,Blank,1.0,1.0,1.0,0.0,0.0,30.0,0.0,777,4.0,2.0,2,1.0,0.0,1.0,Friend was jumped and stabbed,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,T-Macs,Cousin was stabbed,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,31,3,777,1.0,3.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,T-Macs,1.0,14.0,0.0,,5.0,20.0,16.0,35.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,2,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,2.0,2.0,9.0,4.0,1.0,9.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,Blank,999,Harbor-21-200-1,11/7/2017,11/7/2017,2.0,3.0,3.0,1.0,3.0,Blank
808,41780, , , ,1,1,1, ,1,intake,1,777,2,777,1,2,1,777,1,777,6,11/1/2017,9/28/2017,26,2,3,3,0,Blank,0.0,0.0,1.0,0.0,0.0,0.0,2.0,GRYD,2.0,0.0,0,1.0,1.0,1.0,DCFS Case,1.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,,1.0,2.0,0.0,,0.0,,DWS,DCFS case,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2,30,5,777,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,DWS,1.0,16.0,1.0,21.0,5.0,21.0,18.0,35.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,2.0,9.0,2.0,2.0,9.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,Blank,999,Harbor-21-203-1,11/1/2017,11/1/2017,2.0,2.0,3.0,2.0,2.0,Blank
809,41780, , , ,1,1,2, ,2,retest1,777,2,2,777,2,2,777,3,777,1,6,5/1/2018,9/28/2017,27,2,3,3,0,Blank,0.0,1.0,0.0,0.0,0.0,0.0,0.0,777,2.0,0.0,0,1.0,1.0,1.0,DCFS,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,Girlz,DCFS still going,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2,30,5,777,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,Girlz,1.0,16.0,1.0,21.0,5.0,22.0,17.0,35.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,1.0,9.0,1.0,2.0,9.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,Blank,1,Harbor-21-203-1,5/1/2018,5/1/2018,1.0,3.0,3.0,2.0,1.0,Blank
810,41870, , , ,1,1,1, ,1,intake,1,777,2,777,1,2,1,777,1,777,6,11/3/2017,10/3/2017,24,2,3,3,0,Blank,0.0,1.0,0.0,0.0,0.0,0.0,0.0,777,3.0,1.0,1,1.0,0.0,1.0,My kids is gong to jail for a long time,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,HC,My kids dad is going to jail for long time,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3,31,5,777,1.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,HC,1.0,15.0,1.0,19.0,5.0,20.0,16.0,28.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,2.0,9.0,2.0,1.0,9.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,Blank,999,Harbor-21-205-1,11/3/2017,11/3/2017,3.0,2.0,2.0,1.0,2.0,Blank
811,41870, , , ,1,1,2, ,2,retest1,1,777,777,7,1,7,777,3,777,1,6,4/26/2018,10/3/2017,25,2,3,3,0,Blank,1.0,1.0,0.0,0.0,0.0,25.0,0.0,777,3.0,0.0,0,1.0,0.0,0.0,777,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,The 2nd,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3,31,5,777,1.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,The 2nd,1.0,15.0,1.0,19.0,5.0,20.0,15.0,30.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,1.0,9.0,2.0,1.0,9.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,Blank,1,Harbor-21-205-1,4/26/2018,4/26/2018,2.0,3.0,2.0,1.0,2.0,Blank
812,41946, , , ,1,1,1, ,1,intake,1,777,3,777,1,3,1,777,1,777,6,10/30/2017,9/6/2017,20,1,3,3,0,Blank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777,4.0,0.0,0,0.0,0.0,0.0,777,0.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,,Buds,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0,5,5,777,1.0,1.0,6.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,Buds,1.0,16.0,1.0,17.0,3.0,20.0,14.0,26.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,6.0,2,2.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,1.0,2.0,9.0,2.0,1.0,9.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,Blank,999,Harbor-21-206-1,10/30/2017,10/30/2017,3.0,2.0,3.0,2.0,2.0,Blank
813,41946, , , ,1,1,2, ,2,retest1,777,2,2,777,2,2,777,3,777,1,6,4/26/2018,9/6/2017,20,1,3,3,0,Blank,0.0,0.0,0.0,0.0,0.0,30.0,0.0,777,4.0,0.0,0,0.0,0.0,0.0,777,0.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,,2nd,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0,10,5,777,1.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2nd,1.0,16.0,1.0,17.0,3.0,20.0,15.0,25.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,2,3.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,2.0,2.0,9.0,2.0,2.0,9.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,Blank,1,Harbor-21-206-1,4/26/2018,4/26/2018,2.0,3.0,3.0,2.0,2.0,Blank
814,41995, , , ,1,1,1, ,1,intake,1,777,2,777,1,2,1,777,1,777,6,10/10/2017,10/10/2017,16,1,3,3,0,Blank,0.0,0.0,0.0,1.0,8.0,0.0,0.0,777,4.0,2.0,2,1.0,0.0,1.0,Does not want to talk about it,1.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,14.0,0.0,,0.0,,0.0,,0.0,,The Friends,Going to juvenile hall and going on house arrest,"Yes, going to church and reading the Bible.",,,,,,,1.0,1.0,,,,,,,,,,1.0,2.0,2.0,4.0,0,5,9,777,1.0,2.0,7.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,The Friends,1.0,15.0,1.0,16.0,3.0,16.0,16.0,18.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,Friends,0.0,777,1.0,999,0,The Regulars,1.0,3.0,5.0,3.0,2.0,4.0,3.0,1,4.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,4.0,1.0,0.0,1.0,3.0,6.0,3.0,Blank,1,Harbor-21-207-1,10/10/2017,10/10/2017,4.0,1.0,0.0,1.0,3.0,Blank
